epoch,train_loss,val_loss
0,1.828338359472656e+08,1.775692591656250e+08
1,1.017165216404767e+08,4.035705101845703e+07
2,4.988045376152012e+07,2.752782298437500e+07
3,3.577710592794586e+07,1.121701522890625e+07
4,2.182096078348214e+07,3.116538640625000e+07
5,1.467560052872340e+07,1.006581517578125e+07
6,1.221288786108577e+07,1.636705864062500e+07
7,9.490781456170129e+06,7.817768260937500e+06
8,8.686010470969461e+06,1.421756969062500e+07
9,8.635687053069053e+06,9.357343895312499e+06
10,6.600250486191860e+06,9.946693170312500e+06
11,5.474629732176173e+06,1.147970142187500e+07
12,4.888039038170522e+06,9.865945587500000e+06
13,4.144735372129228e+06,1.017938763203125e+07
14,3.660802774370734e+06,8.519803683593750e+06
15,3.301022981325000e+06,9.676682932812501e+06
16,3.762365793080357e+06,1.247384590546875e+07
17,3.813320893732244e+06,1.249092943437500e+07
18,3.395785030629626e+06,7.638523066406250e+06
19,2.975716313718830e+06,6.498783745312500e+06
20,2.777052214201431e+06,5.652916873437500e+06
21,2.699940854224200e+06,5.155794489062500e+06
22,2.579332274054505e+06,7.286155712500000e+06
23,2.544413286093250e+06,6.191696563281250e+06
24,2.346525224355489e+06,4.731369532812500e+06
25,2.335769010226993e+06,6.948632953906250e+06
26,2.336161167772512e+06,6.447847371875000e+06
27,2.221168982289762e+06,6.768416620312500e+06
28,2.271505133164166e+06,5.739413651953125e+06
29,2.180965765455018e+06,5.221956418359375e+06
30,2.133387287998039e+06,6.709442822460937e+06
31,2.059075294406250e+06,6.637646275000000e+06
32,2.014465554181807e+06,5.623275468750000e+06
33,1.954692427588883e+06,5.458583044140625e+06
34,1.909431740197254e+06,5.155444580468750e+06
35,1.883913377376510e+06,6.825335289843750e+06
36,1.826914994024464e+06,5.321064258593750e+06
37,1.835988090261995e+06,4.793349297656250e+06
38,1.747022346028646e+06,5.315340877343750e+06
39,1.795689613896053e+06,5.132946586718750e+06
40,1.828085071919378e+06,4.889035302734375e+06
41,1.892917283820841e+06,5.325792250781250e+06
42,1.832383188929966e+06,5.508314908984375e+06
43,1.758419509595195e+06,6.462134665625000e+06
44,1.712436986631426e+06,6.512635748437500e+06
45,1.717091264222924e+06,5.659210232812500e+06
46,1.653199107251668e+06,4.694665942187500e+06
47,1.681306239164583e+06,6.574886410156250e+06
48,1.694875967962631e+06,4.624713607031250e+06
49,1.708115622674042e+06,5.590234491406250e+06
50,1.646695022961224e+06,4.999563285546875e+06
51,1.620657508619894e+06,5.221298928906250e+06
52,1.614655371799176e+06,5.744767369921875e+06
53,1.624254984947053e+06,4.847472679687500e+06
54,1.594561782491493e+06,4.638257363281250e+06
55,1.569250856364974e+06,4.733768317968750e+06
56,1.568709785998190e+06,4.469309332812500e+06
57,1.570199117277140e+06,4.460686717187500e+06
58,1.542249124610222e+06,4.934011642968750e+06
59,1.561387472764572e+06,5.553693275781250e+06
60,1.536367632837088e+06,4.835204192968750e+06
61,1.540460060222698e+06,4.681695653125000e+06
